,id,timestamp,increment,hour,date,week,week_start,month,month_name,month_start,quarter,year,period
95771,95772,2023-07-02 17:45:00,45,17,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95772,95773,2023-07-02 18:00:00,0,18,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95773,95774,2023-07-02 18:15:00,15,18,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95774,95775,2023-07-02 18:30:00,30,18,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95775,95776,2023-07-02 18:45:00,45,18,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95776,95777,2023-07-02 19:00:00,0,19,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95777,95778,2023-07-02 19:15:00,15,19,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95778,95779,2023-07-02 19:30:00,30,19,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95779,95780,2023-07-02 19:45:00,45,19,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
95780,95781,2023-07-02 20:00:00,0,20,2023-07-02,26,2023-06-26,7,July,2023-07-01,3,2023,On-peak: 5PM to 9PM
